Full Name:,Bats:,Bowls:,Score_batting,Score_bowling,Score_WicketKeeper,Player_id
Mayank Anurag Agarwal,Right Handed,Does Not Bowl | Unknown,87.74676470588234,0.0,0.11,0
Ravichandran Ashwin,Right Handed,Right Arm Off Break,59.32826530612245,12.598504527335272,0.71,0
Jasprit J Bumrah,Right Handed,Right Arm Fast,-18.81833333333333,12.25153996869796,0.14,0
Shikhar Dhawan,Left Handed,Does Not Bowl | Unknown,63.028275862068966,5.0,0.34,0
Mahendra Singh Dhoni,Right Handed,Does Not Bowl | Unknown,70.29166666666669,2.386634844868735,3.7444444444444445,1.5
Ravindrasinh Anirudhsinh Jadeja,Left Handed,Left Arm Orthodox,69.29105633802817,10.975616101183967,0.49,0
Krishnakumar Dinesh Karthik,Right Handed,Does Not Bowl | Unknown,34.19714285714285,0.0,2.2215384615384615,0
Virat Kohli,Right Handed,Right Arm Medium,86.01706896551725,3.4722222222222223,0.86,2.75
Kuldeep Yadav,Left Handed,Left Arm Wrist Spin (Chinaman),-45.97666666666665,10.279702865317589,0.06,0
Bhuvneshwar Kumar,Right Handed,Right Arm Medium,20.952758620689657,8.8646123479794,0.21,0
Amit Mishra,Right Handed,Right Arm Leg Break,27.749999999999996,7.963329962555343,0.22,0
Mohammed Shami Ahmed,Right Handed,Right Arm Fast,26.241249999999994,8.716383227394338,0.49,0
Abhinav Mukund,Left Handed,Right Arm Leg Break,-0.029285714285718578,1.4285714285714284,0.07,0
Shahbaz Nadeem,Right Handed,Left Arm Orthodox,60.1,11.982850482850484,0.01,0
Karun Kaladharan Nair,Right Handed,Right Arm Off Break,61.677142857142854,1.8181818181818183,0.06,0
Hardik H Pandya,Right Handed,Right Arm Medium Fast,51.61222222222223,6.30774068938229,0.11,0
Rishabh Rajendra Pant,Left Handed,Does Not Bowl | Unknown,62.688181818181825,0.0,4.668461538461538,0
Pathiv A Patel,Left Handed,Does Not Bowl | Unknown,40.95342105263157,0.0,2.73,0
Cheteshwar Arvind Pujara,Right Handed,Right Arm Leg Break,76.245625,5.0,0.77,0
Ajinkya M Rahane,Right Handed,Right Arm Medium,71.58518348623853,0.0,0.65,2.0
Kannaur Lokesh Rahul,Right Handed,Does Not Bowl | Unknown,50.69166666666667,0.0,0.3877777777777778,0
Suresh Kumar Raina,Left Handed,Right Arm Off Break,9.044032258064517,4.509436257239264,0.18,0
Wriddhiman Prasanta Saha,Right Handed,Does Not Bowl | Unknown,38.855,0.0,2.8564864864864865,0
Ishant Sharma,Right Handed,Right Arm Fast Medium,1.0672480620155032,8.087827637345136,0.97,0
Rohit G Sharma,Right Handed,Right Arm Off Break,70.4641509433962,3.3132865007865004,0.32,0
Prithvi Pankaj Shaw,Right Handed,Right Arm Off Break,107.4992857142857,0.0,0.04,0
Shardul Narendra Thakur,Right Handed,Right Arm Medium,66.76499999999999,1.8518518518518516,0.01,0
Gade Hanuma Vihari,Right Handed,Right Arm Off Break,53.29,4.87967078760939,0.09,0
Murali Vijay,Right Handed,Right Arm Off Break,56.604523809523805,3.457027023578134,0.61,0
Jayant Yadav,Right Handed,Right Arm Off Break,78.86833333333333,6.87471911809284,0.04,0
Umeshkumar Tilak Yadav,Right Handed,Right Arm Fast,33.86692307692308,7.7719545066271785,0.46,0
